SampleID	Subject	Vendor	Time	Group
sample114	SI4	Shanghai	25	Inulin
sample115	SI5	Shanghai	25	Inulin
sample116	SC1	Shanghai	31	Control
sample117	SC2	Shanghai	31	Control
sample118	SC3	Shanghai	31	Control
sample119	SC4	Shanghai	31	Control
sample120	SC5	Shanghai	31	Control
sample121	SR1	Shanghai	31	Resistant starch
sample122	SR2	Shanghai	31	Resistant starch
sample123	SR3	Shanghai	31	Resistant starch
sample124	SR4	Shanghai	31	Resistant starch
sample125	SR5	Shanghai	31	Resistant starch
sample126	SI1	Shanghai	31	Inulin
sample127	SI2	Shanghai	31	Inulin
sample128	SI3	Shanghai	31	Inulin
sample129	SI4	Shanghai	31	Inulin
sample130	SI5	Shanghai	31	Inulin
