Row.names	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae
sample409	73	GR4	Guangdong	9	0	Resistant starch	14541306.61	4537817.253	239768.1006	1704824.903	118800.1077	265349.1457	1054459.35	966009.635	105359.2196	1212714.968
sample424	74	GR4	Guangdong	9	1	Resistant starch	30543541.57	16730080.85	622189.5677	525025.7174	134665.6872	568493.7557	1835033.067	601734.0202	31535.63562	2157207.939
sample439	75	GR4	Guangdong	9	3	Resistant starch	38426277.28	7535449.658	5025190.338	910981.2047	275630.2107	1689597.619	2623937.316	21450882.21	46716.98486	2855965.008
sample454	76	GR4	Guangdong	9	5	Resistant starch	87716144.19	19864158.84	4310355.914	750499.5865	2574574.785	1025415.21	3933099.437	24766486.36	70233.91853	4739786.159
sample469	77	GR4	Guangdong	9	8	Resistant starch	67964000.32	14553653.64	5616076.442	448159.3148	774675.3871	1901475.95	1532704.857	10635460.77	53779.11778	2558349.46
sample484	78	GR4	Guangdong	9	13	Resistant starch	58902349.6	4417726.836	5114197.061	182216.0473	299644.1667	2223035.777	3148288.373	8900241.6	52640.19144	3107795.918
sample499	79	GR4	Guangdong	9	19	Resistant starch	86359757.91	26003370.22	6950032.439	105691.7375	5111636.761	3862552.59	1468474.596	9784492.673	67258.37844	2272372.357
sample514	80	GR4	Guangdong	9	25	Resistant starch	35007438.6	5408968.078	2905104.189	52876.62871	121305.207	889571.5184	11570650.52	1940883.313	385688.3506	14889436.57
sample529	81	GR4	Guangdong	9	31	Resistant starch	55214641.76	4503337.927	27917974.1	12843356.51	3147347.957	3333286.381	12693698.75	7247063.452	10326385.16	23473592.26
sample410	82	GR5	Guangdong	10	0	Resistant starch	17670270.75	5634964.617	739172.8436	10726195	330826.2505	956448.1699	468397.5626	15710425.48	231469.1918	605968.8747
sample425	83	GR5	Guangdong	10	1	Resistant starch	59408398.67	19983461.35	1551958.167	2115942.965	237993.585	1433961.348	2715926.793	6357828.627	95997.41242	4775871.268
sample440	84	GR5	Guangdong	10	3	Resistant starch	50837337.54	7831752.467	3224565.41	454666.8264	252937.5178	1536246.273	3043009.033	12604978.26	29483.51434	4163382.577
sample455	85	GR5	Guangdong	10	5	Resistant starch	41218975.87	4479380.052	2495325.249	105780.0921	1215114.904	596708.2116	28273119.99	6169149.215	31191.56561	7959273.85
sample470	86	GR5	Guangdong	10	8	Resistant starch	69078028.23	20747286.68	8114476.05	244957.5469	1452248.314	2177857.854	780158.9099	4733444.362	55578.60308	1733229.029
sample485	87	GR5	Guangdong	10	13	Resistant starch	49984105.16	2823566.858	3989595.394	62745.93018	156864.8255	1570391.197	7557398.702	4946470.829	55774.16016	9305570.035
sample500	88	GR5	Guangdong	10	19	Resistant starch	103195930.7	20534117.85	10447560.88	177807.8953	3623509.381	1654152.238	5280355.678	21490508.8	105068.3018	8550943.327
sample515	89	GR5	Guangdong	10	25	Resistant starch	30521991.15	4326597.334	7070876.686	58098.06847	105943.5366	2190638.935	8629271.934	1192719.17	471619.6146	13512927.22
sample530	90	GR5	Guangdong	10	31	Resistant starch	60921230.43	4490529.685	14451183.37	36648097	3541276.788	1954854.139	8868362.679	8911707.56	4200118.981	15933578.3
sample271	91	HR1	Hunan	11	0	Resistant starch	10203637.06	2862643.908	12334471.11	16450594.91	6158650.076	290270.9476	1394935.878	7362252.428	8453834.724	1197878.699
sample286	92	HR1	Hunan	11	1	Resistant starch	48523086.46	33137315.8	8644517.167	4972308.027	13868988.62	198943.0072	4701137.304	1828501.652	7305136.538	1515514.883
sample301	93	HR1	Hunan	11	3	Resistant starch	34599544.09	28747220.82	6129777.655	2558473.189	12271832.05	212387.6496	15883649.77	4729001.307	10075522.77	2822423.158
sample316	94	HR1	Hunan	11	5	Resistant starch	35251357.3	20759054.48	13648295.86	205726.6961	9964557.154	420245.1314	17856022.22	2975124.529	8149942.193	2459928.614
sample331	95	HR1	Hunan	11	8	Resistant starch	49101831.73	10418986.11	33110587.17	502640.4564	6077173.301	1109902.908	40318132.9	9802626.095	14817658.7	10289345.81
sample346	96	HR1	Hunan	11	13	Resistant starch	33289198.34	6311111.365	38014328.51	2854766.146	1894062.596	771114.9935	49551885.94	4805340.716	11309686.57	10015380.08
sample361	97	HR1	Hunan	11	19	Resistant starch	33161762.41	13624232.29	17256570.19	37555408.68	4979268.093	504079.5449	11321033.54	2773920.084	3481855.327	1346930.196
sample376	98	HR1	Hunan	11	25	Resistant starch	39939413.13	8774366.05	19011126.44	14773352.13	10635183.62	465330.1569	8303502.237	4747876.779	1778315.789	720884.4485
sample391	99	HR1	Hunan	11	31	Resistant starch	64862183.08	4821366.239	32612882.36	9851889.66	3793172.993	1740695.981	30206597.4	8157130.07	2580256.816	3975941.184
sample272	100	HR2	Hunan	12	0	Resistant starch	13303042.78	406941.4516	5413447.788	21121.52863	1971342.672	459041.2222	2695811.104	401309.044	7108098.435	3794834.644
sample287	101	HR2	Hunan	12	1	Resistant starch	32833943.67	16038824	5842627.513	290508.4236	5661668.356	290508.4236	8082301.393	1304042.002	8745277.321	2784985.781
sample302	102	HR2	Hunan	12	3	Resistant starch	65238958.4	12966292.68	17166473.03	168961.3487	6969158.689	457189.5318	33981108.89	10666430.55	28860586.14	11537078.45
sample317	103	HR2	Hunan	12	5	Resistant starch	73703692.15	9605347.813	21140721.22	53736.21154	5149720.273	403021.5866	41777665.46	3828705.072	17264996.97	5434074.392
sample332	104	HR2	Hunan	12	8	Resistant starch	97543793.05	9969753.777	34016043.37	158250.0599	7117392.94	791250.2997	57371436.37	2277256.96	18291391.08	13393358.73
sample347	105	HR2	Hunan	12	13	Resistant starch	60191082.39	5790103.675	39015195.24	1140332.846	2657203.33	1041173.468	32458616.37	4309412.965	4612251.065	1628089.786
sample362	106	HR2	Hunan	12	19	Resistant starch	48633309.95	15911802.49	18476406.09	23956037.93	6171744.769	521268.7859	17634804.53	4961275.167	3013069.481	1042537.572
sample377	107	HR2	Hunan	12	25	Resistant starch	71422172.7	2349931.638	49702228.42	44683238.63	4043650.738	1346962.579	24074020.42	10875168.64	4268835.251	1612210.595
sample392	108	HR2	Hunan	12	31	Resistant starch	61391914.54	2759167.685	12580139.78	5270339.782	2662050.532	770000.2841	20753588.74	2696735.229	1654460.07	1397793.309
