Row.names...1	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae	Lachnospiraceae-bacterium-28-4	Clostridia-UCG-014	Oscillospiraceae	Rikenellaceae-RC9-gut-group	Mucispirillum-schaedleri
sample450	85	GC5	Guangdong	10	5	Control	10356584.25	77146.53714	676724.01	48724.12872	96094.80942	1578120.391	5593800.667	7354636.541	40603.4406	10118377.4	590103.3367	498068.8714	7939326.085	4049516.476	1100353.24
sample465	86	GC5	Guangdong	10	8	Control	12936798.31	181684.6675	1454539.823	44624.30429	47811.75459	3843002.586	1331291.745	22146404.73	101998.4098	4208496.888	12749.80122	1124107.475	1907157.767	9026859.267	63749.00612
sample480	87	GC5	Guangdong	10	13	Control	16688922.18	206338.3086	779888.8614	52458.89202	62950.67042	1587755.798	16293731.86	7620528.381	115409.5624	9222273.217	206338.3086	919779.2401	8131128.263	8743148.67	832347.7534
sample495	88	GC5	Guangdong	10	19	Control	31413086.31	307648.2744	4248476.17	102549.4248	76912.0686	8670920.115	1684740.55	22939940.08	128186.781	8322984.567	25637.3562	2426392.64	3656985.738	27602276.43	243554.8839
sample510	89	GC5	Guangdong	10	25	Control	367356.1831	1073204.849	1747565.843	53791.4411	1985035.375	20634921.6	2790595.005	86591.10031	9851705.64	11756709.85	49834490.21	68223.29115	4740206.749	18367.80916	9124865.191
sample525	90	GC5	Guangdong	10	31	Control	66208790.08	10425069.68	737158.7259	1112996.763	12807527.97	835554.092	2503436.198	8442645.014	285507.8654	10205696.41	512946.3345	1698529.843	2767974.56	1572712.818	979114.5441
sample266	91	HC1	Hunan	11	0	Control	3443888.985	247355.0472	19861196.83	30686867.15	5283503.807	194350.3942	327922.1197	1613461.636	5434743.75	729344.0247	113076.593	9187.47318	157600.5015	6360.558355	874223.4095
sample281	92	HC1	Hunan	11	1	Control	3082491.809	247286.251	15613951.55	35233711.39	3060739.778	222099.6884	519759.0645	820852.972	4067629.86	868936.4096	16600.23444	12020.85942	293652.423	11448.43754	23469.29697
sample296	93	HC1	Hunan	11	3	Control	20054459.66	3330896.799	20130014.68	21291403.19	9273838.397	481393.3805	7179885.128	10057451.84	12663020.49	7056838.389	569900.6836	64761.44132	4790187.943	23745.86182	608757.5484
sample311	94	HC1	Hunan	11	5	Control	19473479.61	4161702.937	29290100.07	23880360.79	5887441.404	811460.892	7107005.434	11387343.01	16543995.07	8505312.313	10128234.1	148688.7404	5441375.182	18981.54133	162924.8964
sample326	95	HC1	Hunan	11	8	Control	7645372.282	2781851.508	25412496.69	23854247.97	3018677.855	772259.8265	2019888.48	10320823.55	10235016.9	2198366.306	621240.1271	96103.44508	2061075.67	0	243690.8786
sample341	96	HC1	Hunan	11	13	Control	5851124.94	2062396.667	7728620.1	1485346.229	2191652.46	1215004.452	1216757.073	1110723.508	3910097.272	2394080.176	1786797.027	180081.7995	1369673.249	4381.552299	148534.6229
sample356	97	HC1	Hunan	11	19	Control	7443791.812	3042460.809	10904868.1	2782945.292	6311834.683	1439724.275	6619601.828	5828014.297	5087286.59	10563194.41	17956126.39	249082.7323	6058839.656	0	2777728.9
sample371	98	HC1	Hunan	11	25	Control	10097214.78	2117489.476	5382703.301	267783.576	1200943.167	343810.4588	317905.0024	2227024.503	2850726.523	487698.374	96582.29923	1454084.528	774629.4612	0	29847.59102
sample386	99	HC1	Hunan	11	31	Control	18357162.64	2365984.898	12306890.81	12920133.22	4740668.269	1299455.349	2122910.877	1551227.843	1110021.918	1850358.695	62339.06287	137242.588	1608251.172	19329.94197	45908.61219
sample267	100	HC2	Hunan	12	0	Control	9778994.636	688696.7388	13966071.19	1107903.449	7425947.445	3134069.217	5796530.885	8229426.973	30442392.08	12351626.29	489074.4957	900795.3721	6437817.341	19962.22431	286956.9745
sample282	101	HC2	Hunan	12	1	Control	4409621.472	107968.086	6740963.976	2933488.628	2288667.372	1232031.084	1166738.131	2087240.745	11001222.48	2037310.84	115222.8585	667439.0769	926903.8843	9388.529215	62732.44521
sample297	102	HC2	Hunan	12	3	Control	13664383.09	7941581.404	20620322.63	8896829.03	14187598.27	4009869.014	5783590.175	5132284.975	33485771.34	7613757.786	4155327.175	579661.6279	6560814.38	19539.156	3597375.721
sample312	103	HC2	Hunan	12	5	Control	9578150.149	5961606.885	13874135.19	1494112.265	5326691.629	1438041.827	865793.5311	5076023.788	14019258.68	1700253.582	646459.1699	85754.78784	1019162.671	0	201193.9253
sample327	104	HC2	Hunan	12	8	Control	10826521.43	7412292.359	15453329.26	33135463.91	12417182.45	773919.7743	369726.8557	6124514.921	13434453.52	1274199.898	125331.1375	383304.3956	1075758.931	10444.26146	86687.37013
sample342	105	HC2	Hunan	12	13	Control	6060422.787	2068900.454	15538115.87	953707.3498	1251333.561	1004397.945	4835882.826	5325409.15	6438429.8	7828076.273	6356600.696	438111.5768	4467289.78	4344.908199	5801176.598
sample357	106	HC2	Hunan	12	19	Control	17313270.14	1148458.339	41950755.14	472193.6363	2451831.941	1930482.5	5556095.468	8398194.704	9071480.268	6975655.516	19918527.77	2110720.45	3379833.945	0	3296418.035
sample372	107	HC2	Hunan	12	25	Control	13168629.89	2233512.821	9008726.296	152157.3591	1321130.132	588978.1168	1937058.63	2152100.212	2927485.13	3655145.415	2381178.45	697902.5732	2564777.92	0	500827.9125
sample387	108	HC2	Hunan	12	31	Control	13232727.55	7196043.173	7067077.036	4245859.255	3167354.874	648839.9964	1307035.049	1893730.741	1419963.947	1520864.914	3884353.14	48779.93793	610751.5517	16705.4582	41429.53633
sample268	109	HC3	Hunan	13	0	Control	15343758.64	725323.0857	19683998.39	31710323.11	10099371.9	1489084.952	1686292.612	8468230.588	16099164.25	5526828.213	9205252.433	489676.6454	2134187.973	28411.27294	514745.4156
sample283	110	HC3	Hunan	13	1	Control	7092375.682	350625.5487	3701047.458	18621463.17	3743252.385	364910.2932	1502495.407	6085950.496	5412619.581	2585538.768	2625146.469	105836.9712	1925193.985	7791.678859	106486.2777
sample298	111	HC3	Hunan	13	3	Control	9965730.985	8204625.463	24842681.44	17361449.71	14414718.03	2378185.803	1246871.954	2427875.789	11427541.02	1251494.278	24267.20207	41600.91784	1845462.939	0	64712.53887
sample313	112	HC3	Hunan	13	5	Control	5861275.507	1052463.802	14244215.06	3953276.3	2372129.206	1124371.267	2004420.58	4236820.508	8865046.42	1759281.495	40039.38378	272921.5139	2466916.319	0	54747.72884
sample328	113	HC3	Hunan	13	8	Control	6376357.287	5305492.952	8760545.805	5200258.643	2494474.075	824195.1127	3195755.514	2077746.209	5616144.634	2744510.794	512701.5563	107759.933	3335506.677	8418.744767	756003.2801
sample343	114	HC3	Hunan	13	13	Control	5113618.002	1065498.133	14683775.35	2846911.375	2231490.648	795365.7966	1557662.929	5053922.621	3603196.022	2260264.68	2315665.429	215161.0497	1415940.082	0	127121.0992
sample358	115	HC3	Hunan	13	19	Control	14804315.58	4019871.373	24676048.06	818157.421	2471544.569	875940.6096	6554452.148	3084834.321	3967341.202	9982045.837	9115298.008	351952.149	6943175.417	0	2086761.062
sample373	116	HC3	Hunan	13	25	Control	22790922.36	1340047.972	10470090.88	270506.5782	1756211.938	577873.3934	3866757.768	6007029.596	3581388.191	3816818.092	1521376.557	4904195.084	4603962.509	0	497613.1999
