Row.names	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae
sample269	118	HC4	Hunan	14	0	Control	11608581.36	866013.1849	30665877.29	8179569.619	11966500.11	2840823.598	5186067.396	6518876.705	15271616.9	10542333.92
sample284	119	HC4	Hunan	14	1	Control	5563331.862	129507.0696	2634830.45	677632.0612	2728768.677	897429.2708	1840459.622	2374904.29	10577626.71	5006086.654
sample299	120	HC4	Hunan	14	3	Control	15732454.82	9694543.829	18523448.38	3941585.265	12376177.26	2952723.311	3347035.866	1785188.481	16274634.59	5053669.892
sample314	121	HC4	Hunan	14	5	Control	13337688.8	1228057.474	15655681.47	273509.4597	2029440.191	1557636.373	4112214.727	969591.0347	7825105.642	7405268.622
sample329	122	HC4	Hunan	14	8	Control	14934987.72	2751181.948	7399888.805	17186579.78	3100665.702	858240.4328	3586505.413	5275485.918	10067423.82	6613836.82
sample344	123	HC4	Hunan	14	13	Control	13410318.83	3762105.69	14744664.57	10391181.46	4480289.187	1261144.055	1182754.845	4377691.545	6324741.188	2962074.634
sample359	124	HC4	Hunan	14	19	Control	18784428.58	1916413.287	23854773.07	629195.8562	1376676.557	794198.2451	5049470.695	2692719.707	4244338.556	8747114.589
sample374	125	HC4	Hunan	14	25	Control	25767862.72	1439769.815	8976890.802	221286.2075	885144.8302	308673.1175	1254424.998	1886570.629	1463730.742	3914792.621
sample389	126	HC4	Hunan	14	31	Control	23815527.85	886386.7167	6477505.174	7200544.666	1459345.764	580421.6105	3232119.197	1200643.56	682409.9792	4167427.164
sample270	127	HC5	Hunan	15	0	Control	20665590.45	370339.125	30631382.95	20131768.29	4934518.612	2352153.902	5508377.436	11243629.29	17963115.76	13095324.92
sample285	128	HC5	Hunan	15	1	Control	16332025.18	944653.281	13231308.63	23328446.08	5718101.64	717513.9087	2292522.967	5078942.011	8468424.893	2594495.078
sample300	129	HC5	Hunan	15	3	Control	11398317.1	10422977.54	21152619.99	37590947.56	11416462.95	2126693.886	1133208.474	3009489.599	10933783.28	1310130.534
