Row.names	sampleID	Subject	subjectID	Time	Group	Bacteroidaceae	Akkermansiaceae	Lachnospiraceae	Sutterellaceae	Porphyromonadaceae	Prevotellaceae	Acidaminococcaceae	Ruminococcaceae	Enterobacteriaceae	Desulfovibrionaceae
3-D63	148	3	2	63	H2	16266843.58	8594329.062	3628124.028	4156863	1826237.33	3767265.56	1128209	182043.94	0	231903.1
3-D64AM	149	3	2	64	H2	75235396.87	30765140	16851369.35	13073680	7357716.87	16110105.85	6078353.516	614973.397	0	834606.7
3-D64PM	150	3	2	64.5	H2	106528190.6	20869981.44	21232178.03	13697360	8381659.8	14090168.32	10350813.26	1045794.5	0	637679.6
4-D0AM	151	4	3	0	H1	1791.291418	24.389744	74.975896	20.77645	40.649582	0	33.42299	56.00609	49.68282	43.359552
4-D0PM	152	4	3	0.5	H1	37054.88624	154.02378	2022.575768	437.75183	1143.01886	72.95865	0	2508.96615	405.32583	0
4-D1AM	153	4	3	1	H1	12096113.38	114320.905	1369.113	1369.113	3503560.287	156078.886	0	0	5039020	0
4-D1PM	154	4	3	1.5	H1	13549146.45	90728.36	37425.448	3969.366	1409691.911	19279.777	0	3402.314	3295707.92	2835.261
4-D2AM	155	4	3	2	H1	14761140	529101.6	456810.5	2753.945	1266126	1032.729	7917.591	29260.67	3460332	525314.9
4-D2PM	156	4	3	2.5	H1	7413309.295	1944950.144	586478.8025	4082.219	392573.43	1133.95	229284.6	68263.7766	2140443.22	602127.2651
4-D3AM	157	4	3	3	H1	19358240	4429952	1935400	4242.437	500607.5	21212.18	933336.1	335152.5	1655399	946911.9
4-D3PM	158	4	3	3.5	H1	23141075.93	6600086.751	2099148.607	0	1108841.452	73978.811	754920.1	285827.217	1198793.42	1045791.404
4-D4AM	159	4	3	4	H1	58929589.08	9136258.932	5621079.381	14253.13	3139252.963	972776.35	1512614	669897.303	876567.7	662770.693
4-D4PM	160	4	3	4.5	H1	29869290	4231607	1615758	9882.314	2523943	471386.4	931902.2	1194772	268799	229269.7
4-D5	161	4	3	5	H1	10524180	2311695	1495395	2547.522	699112.9	536799.4	346463	189972.4	97169.78	105904.2
4-D6	162	4	3	6	H1	20525970	4429498	2040875	307529	1191369	1272297	497343.6	244748	107904.9	425243.5
4-D7	163	4	3	7	H1	34915401.71	10756868.11	5120543.878	4884144.688	863930.569	2931346.827	1124686	1030126.197	141839.392	343852.969
4-D8	164	4	3	8	H1	8368695.273	346682.75	860549.976	675368.3	209335.81	688155.8	73883.21	140188.656	0	31258.28
4-D9	165	4	3	9	H1	144882500	44837630	29934930	21111490	8305364	12312340	2638936	7293502	339985.7	2566082
4-D10	166	4	3	10	H1	93867844.77	27192643.25	19358982.21	11994410	2406387	6318524	6567137	3189752.273	4564160	1318118.064
4-D11	167	4	3	11	H1	37825235.78	6578561.902	4574436.824	5543547	3350693.4	2026592.3	768397.6	1198280.729	107845.3	434376.8
4-D14	168	4	3	14	H1	46156842.51	10517712.8	3803546.25	6590654	1712962.5	969868.8	1237140	723858.23	57706.18	473798.146
4-D16	169	4	3	16	H1	25231890	6792394	2989313	2393734	649492.1	322209	214383.2	971701.2	0	145882
4-D18	170	4	3	18	H1	28987330	6801044	3878371	4437921	1976473	549574.5	534374.5	1683874	0	366699.7
4-D21AM	171	4	3	21	H1	28663290	6369448	3992973	3008928	1582940	268469.9	3338836	1613917	0	443491.6
4-D21PM	172	4	3	21.5	H2	24579760	10802590	4250586	1016547	1433213	164302.4	2100470	1614064	0	478722.8
4-D22AM	173	4	3	22	H2	13764168.34	25340243.96	10534060.32	606084.615	2760427.586	7031.144	2178248	2875737.968	8437.373	1459665.915
4-D22PM	174	4	3	22.5	H2	9424577.134	21214751.6	8203048.777	360885	1981088.5	1889.45	1093991.9	1936686.581	20783.95	710433.3
4-D23AM	175	4	3	23	H2	27290746.04	49190722.28	15286667.48	1677394	7395454.823	0	4004567.365	5713247.838	914504.6	6853972
4-D23PM	176	4	3	23.5	H2	17077305.45	31590943.34	20661979.87	706120.6	4494361.96	0	2007037	7322025.891	254457.92	12449350
4-D24	177	4	3	24	H2	22600814.88	22783094.23	13333111.84	117525.2	3513763.25	0	347778.6	7423274.755	55164.88	3938292.946
4-D25	178	4	3	25	H2	30295129.17	47217512.52	8025470.626	269188.6	4608144.663	2281.26	864597.4	7407249.969	15968.82	3433295.519
