Row.names...1	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae	Lachnospiraceae-bacterium-28-4	Clostridia-UCG-014	Oscillospiraceae	Rikenellaceae-RC9-gut-group	Mucispirillum-schaedleri
sample272	100	HR2	Hunan	12	0	Resistant starch	13303042.78	406941.4516	5413447.788	21121.52863	1971342.672	459041.2222	2695811.104	401309.044	7108098.435	3794834.644	2822540.276	111944.1017	1633398.214	11968.86622	535782.7762
sample287	101	HR2	Hunan	12	1	Resistant starch	32833943.67	16038824	5842627.513	290508.4236	5661668.356	290508.4236	8082301.393	1304042.002	8745277.321	2784985.781	2126067.234	251557.5735	1386001.082	20286.90109	68975.4637
sample302	102	HR2	Hunan	12	3	Resistant starch	65238958.4	12966292.68	17166473.03	168961.3487	6969158.689	457189.5318	33981108.89	10666430.55	28860586.14	11537078.45	274313.7191	763307.74	9761990.394	0	423397.262
sample317	103	HR2	Hunan	12	5	Resistant starch	73703692.15	9605347.813	21140721.22	53736.21154	5149720.273	403021.5866	41777665.46	3828705.072	17264996.97	5434074.392	125384.4936	241812.9519	2371110.334	0	591098.327
sample332	104	HR2	Hunan	12	8	Resistant starch	97543793.05	9969753.777	34016043.37	158250.0599	7117392.94	791250.2997	57371436.37	2277256.96	18291391.08	13393358.73	220006.1809	358957.4531	7430033.302	0	4488898.042
sample347	105	HR2	Hunan	12	13	Resistant starch	60191082.39	5790103.675	39015195.24	1140332.846	2657203.33	1041173.468	32458616.37	4309412.965	4612251.065	1628089.786	172858.9156	866974.561	742355.3428	0	25459.84028
sample362	106	HR2	Hunan	12	19	Resistant starch	48633309.95	15911802.49	18476406.09	23956037.93	6171744.769	521268.7859	17634804.53	4961275.167	3013069.481	1042537.572	165019.9136	190258.2533	461085.0527	8736.348367	21355.51823
sample377	107	HR2	Hunan	12	25	Resistant starch	71422172.7	2349931.638	49702228.42	44683238.63	4043650.738	1346962.579	24074020.42	10875168.64	4268835.251	1612210.595	428265.0252	570559.5336	827518.5487	0	75982.50447
sample392	108	HR2	Hunan	12	31	Resistant starch	61391914.54	2759167.685	12580139.78	5270339.782	2662050.532	770000.2841	20753588.74	2696735.229	1654460.07	1397793.309	112725.2668	147409.9643	912207.5438	39887.4021	15608.11387
sample273	109	HR3	Hunan	13	0	Resistant starch	17588971.95	6482160.213	12054686.3	5871940.537	9629266.49	427967.3995	609406.0499	2322089.274	8780654.327	504448.2656	440171.7931	966587.967	466207.8326	17086.15093	24408.78705
sample288	110	HR3	Hunan	13	1	Resistant starch	60718631.97	21030697.82	13108075.02	2171862.756	11836132.43	363709.0739	7425900.121	2254996.258	10684733.42	3776339.356	3938449.686	6654836.884	2560511.881	41566.75131	293045.5967
sample303	111	HR3	Hunan	13	3	Resistant starch	162697512.2	18689111.37	23052281.78	2038920.229	7650409.141	1212652.265	71582149.86	14385384.71	37081004.06	16026031.89	802490.4693	13291619.92	9665551.875	0	41610.61693
